,accommodates,price
0,0.06391445839144584,0.019066215049478648
1,-0.0694188749418875,-0.02729969973748877
2,-0.0694188749418875,-0.02729969973748877
3,0.06391445839144584,-0.02479343407332837
4,-0.0694188749418875,-0.02379092780766421
5,-0.0694188749418875,-0.02479343407332837
6,-0.0027522082752208317,-0.01852776991292737
7,-0.0694188749418875,-0.02479343407332837
8,-0.0694188749418875,-0.029054085702401054
9,0.1305811250581125,0.013803057154741805
10,-0.0694188749418875,-0.028552832569568972
11,-0.13608554160855416,-0.029304712268817094
12,0.06391445839144584,-0.020282155877839648
13,0.1305811250581125,-0.005996441592125363
14,-0.0694188749418875,-0.007249574424205564
15,-0.13608554160855416,-0.028552832569568972
16,0.06391445839144584,-0.002237043095884762
17,-0.0694188749418875,-0.02479343407332837
18,-0.13608554160855416,-0.03130972480014541
19,-0.0694188749418875,-0.03130972480014541
20,-0.13608554160855416,-0.03356536389788978
21,-0.0027522082752208317,-0.013515238584606567
22,-0.0694188749418875,-0.02604656690540857
23,0.3305811250581125,-0.005996441592125363
24,0.1305811250581125,0.0002692225682756388
25,-0.0694188749418875,-0.01978090274500757
26,-0.0694188749418875,-0.02103403557708777
27,-0.0694188749418875,-0.01978090274500757
28,-0.0694188749418875,-0.01852776991292737
29,-0.0694188749418875,-0.026798446604656693
30,-0.13608554160855416,-0.029805965401649172
31,0.19724779172477916,0.006534886728676641
32,0.06391445839144584,-0.005996441592125363
33,-0.13608554160855416,-0.03130972480014541
34,-0.13608554160855416,-0.02479343407332837
35,0.06391445839144584,-0.016021504248766968
36,-0.0694188749418875,-0.014768371416686767
37,0.8639144583914458,-0.012262105752526366
38,0.8639144583914458,0.006534886728676641
39,-0.0694188749418875,-0.02479343407332837
40,-0.13608554160855416,-0.024041554374080253
41,0.06391445839144584,-0.031059098233729373
42,-0.13608554160855416,-0.028552832569568972
43,-0.13608554160855416,-0.03231223106580958
44,0.06391445839144584,-0.007249574424205564
45,-0.0694188749418875,-0.03231223106580958
46,-0.0694188749418875,-0.02228716840916797
47,-0.13608554160855416,-0.02479343407332837
48,-0.0694188749418875,-0.031059098233729373
49,-0.13608554160855416,-0.03231223106580958
50,-0.0694188749418875,-0.028552832569568972
51,-0.0027522082752208317,-0.01978090274500757
52,-0.0694188749418875,-0.02128466214350381
53,-0.0027522082752208317,-0.016021504248766968
54,-0.0694188749418875,-0.02729969973748877
55,0.26391445839144584,0.02783814487404005
56,0.06391445839144584,-0.008502707256285765
57,-0.0694188749418875,-0.02604656690540857
58,-0.0694188749418875,-0.01978090274500757
59,-0.0694188749418875,-0.029805965401649172
60,-0.0694188749418875,-0.02354030124124817
61,-0.0694188749418875,-0.013515238584606567
62,-0.0694188749418875,-0.02729969973748877
63,0.06391445839144584,-0.01852776991292737
64,-0.13608554160855416,-0.02729969973748877
65,-0.13608554160855416,-0.028552832569568972
66,-0.0694188749418875,-0.027800952870320854
67,-0.0694188749418875,-0.02479343407332837
68,-0.0694188749418875,-0.02729969973748877
69,-0.13608554160855416,-0.016021504248766968
70,-0.0694188749418875,-0.032061604499393534
71,-0.0027522082752208317,-0.02479343407332837
72,-0.0694188749418875,-0.028051579436736893
73,-0.0694188749418875,-0.02629719347182461
74,-0.0694188749418875,-0.02629719347182461
75,-0.0694188749418875,-0.025294687206160453
76,-0.13608554160855416,-0.02228716840916797
77,-0.0694188749418875,-0.013515238584606567
78,-0.0694188749418875,-0.012262105752526366
79,-0.13608554160855416,-0.02604656690540857
80,-0.0694188749418875,-0.01852776991292737
81,-0.0694188749418875,-0.028302206003152933
82,0.06391445839144584,-0.012262105752526366
83,-0.0694188749418875,-0.01852776991292737
84,-0.13608554160855416,-0.03682350926129829
85,-0.0694188749418875,-0.02354030124124817
86,-0.0694188749418875,-0.02228716840916797
